tokenID,name,description,file_name,attributes[Species],attributes[Body],attributes[Beak],attributes[Beak Style],attributes[Eyes],attributes[Eye Style],attributes[Cheeks],attributes[Crest],attributes[Crest Color],attributes[Crown],attributes[Crown Color],attributes[Accessory]
1572,Robingoose #1572,Honk honk,goose_1572.png,Goose,White,Pink,Open,Black,Solid,No,Yes,White,No,None,No
1573,Robingoose #1573,Honk honk,goose_1573.png,Goose,White,Lime,Open,Black,Solid,Yes,Yes,White,No,None,No
1574,Robingoose #1574,Honk honk,goose_1574.png,Goose,Blue,Salmon,Closed,Black,Solid,No,Yes,Blue,No,None,No
1575,Robingoose #1575,Honk honk,goose_1575.png,Goose,Blue,Black,Open,Sky Blue,Solid,Yes,No,None,No,None,No
1576,Robingoose #1576,Honk honk,goose_1576.png,Goose,Coral,Orange,Closed,Yellow,Two Tone,No,Yes,Coral,No,None,No
1577,Robingoose #1577,Honk honk,goose_1577.png,Goose,Black,Green,Open,Purple,Two Tone,No,No,None,No,None,Yes
1578,Robingoose #1578,Honk honk,goose_1578.png,Goose,Blue,Yellow,Closed,Coral,Two Tone,No,No,None,No,None,No
1579,Robingoose #1579,Honk honk,goose_1579.png,Goose,Blue,Yellow,Closed,Green,Two Tone,No,No,None,No,None,Yes
1580,Robingoose #1580,Honk honk,goose_1580.png,Goose,White,Coral,Open,Black,Solid,Yes,Yes,White,No,None,No
1581,Robingoose #1581,Honk honk,goose_1581.png,Goose,Salmon,Orange,Open,White,Two Tone,Yes,No,None,No,None,No
1582,Robingoose #1582,Honk honk,goose_1582.png,Goose,Turquoise,Sky Blue,Closed,Black,Solid,No,Yes,Turquoise,No,None,No
1583,Robingoose #1583,Honk honk,goose_1583.png,Goose,Lime,Sky Blue,Open,Coral,Two Tone,Yes,Yes,Orange,No,None,No
1584,Robingoose #1584,Honk honk,goose_1584.png,Goose,Pink,Purple,Open,Orange,Two Tone,Yes,No,None,Yes,Black,No
1585,Robingoose #1585,Honk honk,goose_1585.png,Goose,Red,Black,Open,Salmon,Solid,No,Yes,Lime,No,None,No
1586,Robingoose #1586,Honk honk,goose_1586.png,Goose,Blue,Yellow,Closed,Black,Solid,No,Yes,Red,No,None,No
1587,Robingoose #1587,Honk honk,goose_1587.png,Goose,White,Orange,Open,Lime,Two Tone,No,No,None,Yes,Black,No
1588,Robingoose #1588,Honk honk,goose_1588.png,Goose,Coral,Turquoise,Open,Black,Solid,No,Yes,Coral,No,None,No
1589,Robingoose #1589,Honk honk,goose_1589.png,Goose,Turquoise,Lime,Open,Black,Solid,Yes,No,None,No,None,No
1590,Robingoose #1590,Honk honk,goose_1590.png,Goose,Green,Red,Open,Blue,Two Tone,No,No,None,Yes,Black,No
1591,Robingoose #1591,Honk honk,goose_1591.png,Goose,Sky Blue,Coral,Closed,Black,Solid,No,No,None,No,None,No
1592,Robingoose #1592,Honk honk,goose_1592.png,Goose,Turquoise,Yellow,Open,Black,Solid,Yes,No,None,No,None,No
1593,Robingoose #1593,Honk honk,goose_1593.png,Goose,Blue,Orange,Open,Black,Solid,No,Yes,Blue,No,None,No
1594,Robingoose #1594,Honk honk,goose_1594.png,Goose,Purple,Pink,Open,Red,Two Tone,Yes,No,None,Yes,Black,No
1595,Robingoose #1595,Honk honk,goose_1595.png,Goose,White,Orange,Open,Black,Solid,No,Yes,Salmon,No,None,No
1596,Robingoose #1596,Honk honk,goose_1596.png,Goose,Coral,Yellow,Closed,Black,Solid,No,Yes,Turquoise,No,None,No
1597,Robingoose #1597,Honk honk,goose_1597.png,Goose,Purple,Lime,Open,Black,Solid,No,Yes,Lime,No,None,No
1598,Robingoose #1598,Honk honk,goose_1598.png,Goose,Lime,Green,Open,Turquoise,Two Tone,No,No,None,No,None,Yes
1599,Robingoose #1599,Honk honk,goose_1599.png,Goose,White,Purple,Open,Black,Solid,No,No,None,No,None,No
1600,Robingoose #1600,Honk honk,goose_1600.png,Goose,Coral,Turquoise,Open,Black,Solid,Yes,Yes,Coral,No,None,No
1601,Robingoose #1601,Honk honk,goose_1601.png,Goose,Blue,Black,Open,Purple,Solid,Yes,No,None,No,None,No
1602,Robingoose #1602,Honk honk,goose_1602.png,Goose,White,Pink,Open,Black,Solid,Yes,No,None,No,None,No
1603,Robingoose #1603,Honk honk,goose_1603.png,Goose,White,Orange,Closed,Turquoise,Two Tone,No,No,None,No,None,No
1604,Robingoose #1604,Honk honk,goose_1604.png,Goose,Sky Blue,Blue,Closed,Coral,Two Tone,No,No,None,No,None,No
1605,Robingoose #1605,Honk honk,goose_1605.png,Goose,Black,Pink,Closed,Red,Solid,No,No,None,No,None,No
1606,Robingoose #1606,Honk honk,goose_1606.png,Goose,Salmon,Yellow,Closed,Purple,Two Tone,No,No,None,No,None,No
1607,Robingoose #1607,Honk honk,goose_1607.png,Goose,Red,White,Open,Black,Solid,Yes,No,None,No,None,No
1608,Robingoose #1608,Honk honk,goose_1608.png,Goose,Yellow,Pink,Open,Black,Solid,Yes,No,None,No,None,No
1609,Robingoose #1609,Honk honk,goose_1609.png,Goose,White,Yellow,Closed,Red,Two Tone,No,No,None,Yes,Black,No
1610,Robingoose #1610,Honk honk,goose_1610.png,Goose,Orange,Sky Blue,Open,Black,Solid,No,No,None,No,None,No
1611,Robingoose #1611,Honk honk,goose_1611.png,Goose,Yellow,Sky Blue,Open,Black,Solid,No,Yes,Yellow,No,None,No
1612,Robingoose #1612,Honk honk,goose_1612.png,Goose,Blue,Sky Blue,Open,Red,Two Tone,Yes,Yes,Blue,No,None,Yes
1613,Robingoose #1613,Honk honk,goose_1613.png,Goose,Green,Turquoise,Closed,Salmon,Two Tone,No,No,None,No,None,No
1614,Robingoose #1614,Honk honk,goose_1614.png,Goose,Purple,Sky Blue,Open,Black,Solid,No,No,None,No,None,No
1615,Robingoose #1615,Honk honk,goose_1615.png,Goose,Orange,Yellow,Closed,Black,Solid,No,Yes,Red,No,None,No
1616,Robingoose #1616,Honk honk,goose_1616.png,Goose,White,Lime,Open,Pink,Two Tone,No,Yes,Blue,No,None,Yes
1617,Robingoose #1617,Honk honk,goose_1617.png,Goose,Lime,Salmon,Closed,Sky Blue,Two Tone,No,Yes,Lime,No,None,No
1618,Robingoose #1618,Honk honk,goose_1618.png,Goose,White,Yellow,Open,Blue,Two Tone,Yes,No,None,No,None,No
1619,Robingoose #1619,Honk honk,goose_1619.png,Goose,White,Orange,Open,Purple,Two Tone,Yes,No,None,No,None,No
1620,Robingoose #1620,Honk honk,goose_1620.png,Goose,White,Orange,Closed,Purple,Two Tone,No,No,None,Yes,Yellow,No
1621,Robingoose #1621,Honk honk,goose_1621.png,Goose,Blue,Orange,Closed,Red,Two Tone,No,No,None,No,None,Yes
1622,Robingoose #1622,Honk honk,goose_1622.png,Goose,Blue,Black,Closed,Coral,Solid,No,No,None,No,None,No
1623,Robingoose #1623,Honk honk,goose_1623.png,Goose,Turquoise,Orange,Closed,Red,Two Tone,No,No,None,No,None,Yes
1624,Robingoose #1624,Honk honk,goose_1624.png,Goose,Yellow,Red,Open,Black,Solid,Yes,Yes,Turquoise,No,None,No
1625,Robingoose #1625,Honk honk,goose_1625.png,Goose,Lime,Coral,Closed,Black,Solid,No,Yes,Purple,No,None,No
1626,Robingoose #1626,Honk honk,goose_1626.png,Goose,Purple,Coral,Open,Black,Solid,Yes,No,None,No,None,No
1627,Robingoose #1627,Honk honk,goose_1627.png,Goose,White,Orange,Closed,Purple,Two Tone,No,No,None,Yes,Black,No
1628,Robingoose #1628,Honk honk,goose_1628.png,Goose,White,Black,Closed,Yellow,Solid,No,No,None,No,None,No
1629,Robingoose #1629,Honk honk,goose_1629.png,Goose,Yellow,Coral,Closed,Pink,Two Tone,No,No,None,No,None,No
1630,Robingoose #1630,Honk honk,goose_1630.png,Goose,Turquoise,Orange,Open,Green,Two Tone,Yes,No,None,Yes,Black,No
1631,Robingoose #1631,Honk honk,goose_1631.png,Goose,Blue,Yellow,Open,Black,Solid,No,Yes,Yellow,No,None,No
1632,Robingoose #1632,Honk honk,goose_1632.png,Goose,Green,Pink,Closed,Black,Solid,No,Yes,Green,No,None,No
1633,Robingoose #1633,Honk honk,goose_1633.png,Goose,Turquoise,Orange,Open,Purple,Two Tone,No,No,None,Yes,Black,No
1634,Robingoose #1634,Honk honk,goose_1634.png,Goose,Yellow,Orange,Open,Black,Solid,Yes,Yes,Purple,No,None,No
1635,Robingoose #1635,Honk honk,goose_1635.png,Goose,Pink,Black,Closed,Turquoise,Solid,No,Yes,Pink,No,None,No
1636,Robingoose #1636,Honk honk,goose_1636.png,Goose,Coral,Yellow,Open,Purple,Two Tone,Yes,No,None,Yes,Black,No
1637,Robingoose #1637,Honk honk,goose_1637.png,Goose,White,Orange,Closed,Red,Two Tone,No,Yes,White,No,None,No
1638,Robingoose #1638,Honk honk,goose_1638.png,Goose,Blue,Yellow,Open,White,Two Tone,Yes,No,None,No,None,Yes
1639,Robingoose #1639,Honk honk,goose_1639.png,Goose,Yellow,Red,Open,Pink,Two Tone,Yes,No,None,No,None,Yes
1640,Robingoose #1640,Honk honk,goose_1640.png,Goose,Salmon,Green,Closed,Black,Solid,No,No,None,No,None,No
1641,Robingoose #1641,Honk honk,goose_1641.png,Goose,Turquoise,Yellow,Open,Black,Solid,No,No,None,No,None,No
1642,Robingoose #1642,Honk honk,goose_1642.png,Goose,White,Orange,Open,Blue,Two Tone,No,Yes,White,No,None,No
1643,Robingoose #1643,Honk honk,goose_1643.png,Goose,Pink,Black,Open,Sky Blue,Two Tone,No,No,None,Yes,Black,No
1644,Robingoose #1644,Honk honk,goose_1644.png,Goose,Turquoise,Orange,Open,Sky Blue,Two Tone,No,Yes,Turquoise,No,None,Yes
1645,Robingoose #1645,Honk honk,goose_1645.png,Goose,Turquoise,White,Closed,Lime,Two Tone,No,Yes,Turquoise,No,None,No
1646,Robingoose #1646,Honk honk,goose_1646.png,Goose,Turquoise,Lime,Closed,Black,Solid,No,Yes,Turquoise,No,None,No
1647,Robingoose #1647,Honk honk,goose_1647.png,Goose,Purple,Red,Open,Coral,Two Tone,No,Yes,Blue,No,None,No
1648,Robingoose #1648,Honk honk,goose_1648.png,Goose,Yellow,Red,Closed,White,Two Tone,No,No,None,No,None,Yes
1649,Robingoose #1649,Honk honk,goose_1649.png,Goose,Blue,Orange,Closed,Lime,Two Tone,No,No,None,Yes,Yellow,No
1650,Robingoose #1650,Honk honk,goose_1650.png,Goose,Turquoise,Yellow,Open,Coral,Two Tone,No,Yes,Sky Blue,No,None,Yes
1651,Robingoose #1651,Honk honk,goose_1651.png,Goose,Sky Blue,Orange,Open,Black,Solid,Yes,Yes,Sky Blue,No,None,No
1652,Robingoose #1652,Honk honk,goose_1652.png,Goose,Purple,Lime,Closed,Pink,Two Tone,No,No,None,Yes,Yellow,No
1653,Robingoose #1653,Honk honk,goose_1653.png,Goose,White,Orange,Closed,Blue,Two Tone,No,Yes,White,No,None,Yes
1654,Robingoose #1654,Honk honk,goose_1654.png,Goose,White,Yellow,Closed,Black,Solid,No,Yes,Black,No,None,No
1655,Robingoose #1655,Honk honk,goose_1655.png,Goose,Salmon,Green,Closed,White,Two Tone,No,No,None,No,None,Yes
1656,Robingoose #1656,Honk honk,goose_1656.png,Goose,Salmon,Orange,Open,Green,Two Tone,No,Yes,Salmon,No,None,No
1657,Robingoose #1657,Honk honk,goose_1657.png,Goose,Yellow,Green,Open,Turquoise,Two Tone,Yes,Yes,Yellow,No,None,No
1658,Robingoose #1658,Honk honk,goose_1658.png,Goose,White,Salmon,Open,Black,Solid,No,No,None,No,None,No
1659,Robingoose #1659,Honk honk,goose_1659.png,Goose,Salmon,Red,Closed,Sky Blue,Two Tone,No,No,None,No,None,No
1660,Robingoose #1660,Honk honk,goose_1660.png,Goose,Yellow,Orange,Open,Sky Blue,Two Tone,Yes,Yes,Turquoise,No,None,Yes
1661,Robingoose #1661,Honk honk,goose_1661.png,Goose,Sky Blue,Yellow,Closed,Black,Solid,No,Yes,Pink,No,None,No
1662,Robingoose #1662,Honk honk,goose_1662.png,Goose,Yellow,Orange,Closed,Turquoise,Two Tone,No,No,None,No,None,Yes
1663,Robingoose #1663,Honk honk,goose_1663.png,Goose,Coral,Salmon,Open,Blue,Two Tone,Yes,No,None,Yes,Black,No
1664,Robingoose #1664,Honk honk,goose_1664.png,Goose,Orange,Black,Closed,Red,Solid,No,Yes,Orange,No,None,No
1665,Robingoose #1665,Honk honk,goose_1665.png,Goose,White,Yellow,Open,Blue,Two Tone,Yes,No,None,Yes,Yellow,No
1666,Robingoose #1666,Honk honk,goose_1666.png,Goose,White,Orange,Open,Blue,Two Tone,No,No,None,Yes,Yellow,No
1667,Robingoose #1667,Honk honk,goose_1667.png,Goose,Sky Blue,Coral,Open,Black,Solid,No,Yes,Yellow,No,None,No
1668,Robingoose #1668,Honk honk,goose_1668.png,Goose,Sky Blue,White,Open,Black,Solid,Yes,Yes,Sky Blue,No,None,No
1669,Robingoose #1669,Honk honk,goose_1669.png,Goose,Coral,Yellow,Open,Black,Solid,Yes,No,None,No,None,No
1670,Robingoose #1670,Honk honk,goose_1670.png,Goose,White,Red,Open,Sky Blue,Two Tone,No,No,None,No,None,No
1671,Robingoose #1671,Honk honk,goose_1671.png,Goose,White,Black,Open,Turquoise,Two Tone,Yes,Yes,White,No,None,Yes
1672,Robingoose #1672,Honk honk,goose_1672.png,Goose,Sky Blue,Yellow,Closed,Black,Solid,No,Yes,White,No,None,No
1673,Robingoose #1673,Honk honk,goose_1673.png,Goose,Coral,Yellow,Open,Turquoise,Two Tone,No,No,None,No,None,Yes
1674,Robingoose #1674,Honk honk,goose_1674.png,Goose,White,Orange,Open,Yellow,Two Tone,Yes,No,None,Yes,Yellow,No
1675,Robingoose #1675,Honk honk,goose_1675.png,Goose,Black,Turquoise,Open,White,Solid,Yes,Yes,Black,No,None,No
1676,Robingoose #1676,Honk honk,goose_1676.png,Goose,Pink,Turquoise,Closed,Black,Solid,No,No,None,No,None,No
1677,Robingoose #1677,Honk honk,goose_1677.png,Goose,Yellow,Turquoise,Open,Black,Solid,Yes,No,None,No,None,No
1678,Robingoose #1678,Honk honk,goose_1678.png,Goose,Sky Blue,Yellow,Open,Black,Solid,Yes,Yes,White,No,None,No
1679,Robingoose #1679,Honk honk,goose_1679.png,Goose,Turquoise,Black,Closed,Green,Solid,No,No,None,No,None,No
1680,Robingoose #1680,Honk honk,goose_1680.png,Goose,Coral,Orange,Open,Black,Solid,No,Yes,Coral,No,None,No
1681,Robingoose #1681,Honk honk,goose_1681.png,Goose,Turquoise,Orange,Closed,Lime,Two Tone,No,No,None,Yes,Yellow,No
1682,Robingoose #1682,Honk honk,goose_1682.png,Goose,Coral,Yellow,Open,Black,Solid,No,Yes,Coral,No,None,No
1683,Robingoose #1683,Honk honk,goose_1683.png,Goose,Lime,Orange,Open,Red,Two Tone,No,No,None,No,None,Yes
1684,Robingoose #1684,Honk honk,goose_1684.png,Goose,White,Yellow,Open,Pink,Two Tone,No,No,None,No,None,No
1685,Robingoose #1685,Honk honk,goose_1685.png,Goose,Orange,Lime,Open,Black,Solid,No,No,None,No,None,No
1686,Robingoose #1686,Honk honk,goose_1686.png,Goose,White,Orange,Closed,Pink,Two Tone,No,No,None,Yes,Yellow,No
1687,Robingoose #1687,Honk honk,goose_1687.png,Goose,Purple,Yellow,Open,Red,Two Tone,No,Yes,Purple,No,None,Yes
1688,Robingoose #1688,Honk honk,goose_1688.png,Goose,White,Coral,Open,Black,Solid,Yes,Yes,Salmon,No,None,No
1689,Robingoose #1689,Honk honk,goose_1689.png,Goose,Coral,Purple,Open,Black,Solid,No,No,None,No,None,No
1690,Robingoose #1690,Honk honk,goose_1690.png,Goose,Black,Salmon,Closed,Red,Solid,No,Yes,Black,No,None,No
1691,Robingoose #1691,Honk honk,goose_1691.png,Goose,Blue,Turquoise,Open,Black,Solid,Yes,No,None,No,None,No
1692,Robingoose #1692,Honk honk,goose_1692.png,Goose,White,Blue,Open,Turquoise,Two Tone,Yes,No,None,No,None,No
1693,Robingoose #1693,Honk honk,goose_1693.png,Goose,Blue,Black,Open,Lime,Solid,No,No,None,No,None,No
1694,Robingoose #1694,Honk honk,goose_1694.png,Goose,Turquoise,Black,Open,Purple,Two Tone,Yes,No,None,Yes,Yellow,No
1695,Robingoose #1695,Honk honk,goose_1695.png,Goose,Lime,Green,Open,Black,Solid,No,No,None,No,None,No
1696,Robingoose #1696,Honk honk,goose_1696.png,Goose,Yellow,Purple,Closed,Black,Solid,No,Yes,Green,No,None,No
1697,Robingoose #1697,Honk honk,goose_1697.png,Goose,Orange,Yellow,Closed,Black,Solid,No,Yes,Purple,No,None,No
1698,Robingoose #1698,Honk honk,goose_1698.png,Goose,Blue,Red,Open,Black,Solid,Yes,Yes,Yellow,No,None,No
1699,Robingoose #1699,Honk honk,goose_1699.png,Goose,Coral,Sky Blue,Closed,Black,Solid,No,Yes,White,No,None,No
1700,Robingoose #1700,Honk honk,goose_1700.png,Goose,Green,Blue,Open,Black,Solid,Yes,Yes,Green,No,None,No
1701,Robingoose #1701,Honk honk,goose_1701.png,Goose,Black,Yellow,Open,Purple,Two Tone,Yes,No,None,Yes,Yellow,No
1702,Robingoose #1702,Honk honk,goose_1702.png,Goose,Orange,Yellow,Closed,White,Two Tone,No,Yes,Orange,No,None,No
1703,Robingoose #1703,Honk honk,goose_1703.png,Goose,Red,Sky Blue,Open,Black,Solid,No,No,None,No,None,No
1704,Robingoose #1704,Honk honk,goose_1704.png,Goose,Green,Orange,Closed,Yellow,Two Tone,No,Yes,Green,No,None,Yes
1705,Robingoose #1705,Honk honk,goose_1705.png,Goose,Pink,Yellow,Open,Black,Solid,No,No,None,No,None,No
1706,Robingoose #1706,Honk honk,goose_1706.png,Goose,White,Sky Blue,Open,Yellow,Two Tone,Yes,Yes,White,No,None,No
1707,Robingoose #1707,Honk honk,goose_1707.png,Goose,White,Purple,Closed,Pink,Two Tone,No,No,None,Yes,Black,No
1708,Robingoose #1708,Honk honk,goose_1708.png,Goose,Purple,White,Open,Black,Solid,No,Yes,Purple,No,None,No
1709,Robingoose #1709,Honk honk,goose_1709.png,Goose,Red,Lime,Open,Orange,Two Tone,No,Yes,Red,No,None,No
1710,Robingoose #1710,Honk honk,goose_1710.png,Goose,Orange,Yellow,Open,Black,Solid,No,No,None,No,None,No
1711,Robingoose #1711,Honk honk,goose_1711.png,Goose,White,Black,Open,Purple,Two Tone,Yes,No,None,Yes,Black,No
1712,Robingoose #1712,Honk honk,goose_1712.png,Goose,Salmon,Red,Closed,Coral,Two Tone,No,No,None,Yes,Black,No
1713,Robingoose #1713,Honk honk,goose_1713.png,Goose,Turquoise,Purple,Open,Black,Solid,No,No,None,No,None,No
1714,Robingoose #1714,Honk honk,goose_1714.png,Goose,White,Sky Blue,Closed,Green,Two Tone,No,Yes,White,No,None,No
1715,Robingoose #1715,Honk honk,goose_1715.png,Goose,Sky Blue,Purple,Open,Black,Solid,No,No,None,No,None,No
1716,Robingoose #1716,Honk honk,goose_1716.png,Goose,White,Orange,Open,Yellow,Two Tone,Yes,Yes,White,No,None,No
1717,Robingoose #1717,Honk honk,goose_1717.png,Goose,Black,Lime,Open,Red,Solid,No,No,None,No,None,No
1718,Robingoose #1718,Honk honk,goose_1718.png,Goose,Red,Black,Closed,Black,Solid,No,Yes,Orange,No,None,No
1719,Robingoose #1719,Honk honk,goose_1719.png,Goose,Purple,Salmon,Closed,Black,Solid,No,Yes,Purple,No,None,No
1720,Robingoose #1720,Honk honk,goose_1720.png,Goose,White,Sky Blue,Open,Black,Solid,Yes,Yes,White,No,None,No
1721,Robingoose #1721,Honk honk,goose_1721.png,Goose,Sky Blue,Blue,Closed,Black,Solid,No,No,None,No,None,No
1722,Robingoose #1722,Honk honk,goose_1722.png,Goose,Sky Blue,Purple,Open,White,Two Tone,Yes,No,None,No,None,Yes
1723,Robingoose #1723,Honk honk,goose_1723.png,Goose,White,Yellow,Closed,Black,Solid,No,Yes,Salmon,No,None,No
1724,Robingoose #1724,Honk honk,goose_1724.png,Goose,White,Sky Blue,Open,Black,Solid,Yes,Yes,White,No,None,No
1725,Robingoose #1725,Honk honk,goose_1725.png,Goose,Yellow,Green,Open,Black,Solid,Yes,No,None,No,None,No
1726,Robingoose #1726,Honk honk,goose_1726.png,Goose,White,Purple,Closed,Salmon,Two Tone,No,No,None,Yes,Black,No
1727,Robingoose #1727,Honk honk,goose_1727.png,Goose,White,Orange,Open,Black,Solid,Yes,Yes,Yellow,No,None,No
1728,Robingoose #1728,Honk honk,goose_1728.png,Goose,Turquoise,Yellow,Open,Blue,Two Tone,Yes,Yes,Turquoise,No,None,No
1729,Robingoose #1729,Honk honk,goose_1729.png,Goose,White,Red,Open,Black,Solid,No,Yes,White,No,None,No
1730,Robingoose #1730,Honk honk,goose_1730.png,Goose,White,Sky Blue,Open,Black,Solid,No,No,None,No,None,No
1731,Robingoose #1731,Honk honk,goose_1731.png,Goose,White,Orange,Closed,Pink,Two Tone,No,Yes,White,No,None,Yes
1732,Robingoose #1732,Honk honk,goose_1732.png,Goose,White,Coral,Open,Black,Solid,No,Yes,Orange,No,None,No
1733,Robingoose #1733,Honk honk,goose_1733.png,Goose,White,Blue,Open,Salmon,Two Tone,Yes,No,None,No,None,Yes
1734,Robingoose #1734,Honk honk,goose_1734.png,Goose,White,Red,Open,Pink,Two Tone,No,No,None,No,None,No
1735,Robingoose #1735,Honk honk,goose_1735.png,Goose,White,Turquoise,Closed,Black,Solid,No,Yes,Lime,No,None,No
1736,Robingoose #1736,Honk honk,goose_1736.png,Goose,Blue,Orange,Closed,Yellow,Two Tone,No,No,None,Yes,Black,No
1737,Robingoose #1737,Honk honk,goose_1737.png,Goose,White,Blue,Closed,Salmon,Two Tone,No,Yes,White,No,None,No
1738,Robingoose #1738,Honk honk,goose_1738.png,Goose,White,Green,Open,Black,Solid,No,No,None,No,None,No
1739,Robingoose #1739,Honk honk,goose_1739.png,Goose,Purple,Salmon,Open,Green,Two Tone,Yes,Yes,Purple,No,None,No
1740,Robingoose #1740,Honk honk,goose_1740.png,Goose,Pink,Orange,Closed,Green,Two Tone,No,No,None,No,None,Yes
1741,Robingoose #1741,Honk honk,goose_1741.png,Goose,Pink,White,Closed,Black,Solid,No,Yes,Pink,No,None,No
1742,Robingoose #1742,Honk honk,goose_1742.png,Goose,Blue,Orange,Open,Pink,Two Tone,No,No,None,No,None,No
1743,Robingoose #1743,Honk honk,goose_1743.png,Goose,White,Yellow,Open,Orange,Two Tone,No,No,None,Yes,Yellow,No
1744,Robingoose #1744,Honk honk,goose_1744.png,Goose,Salmon,Yellow,Open,Coral,Two Tone,No,Yes,Salmon,No,None,Yes
1745,Robingoose #1745,Honk honk,goose_1745.png,Goose,White,Orange,Closed,Black,Solid,No,Yes,Blue,No,None,No
1746,Robingoose #1746,Honk honk,goose_1746.png,Goose,Lime,White,Closed,Orange,Two Tone,No,No,None,No,None,No
1747,Robingoose #1747,Honk honk,goose_1747.png,Goose,Yellow,Orange,Open,Black,Solid,No,Yes,Yellow,No,None,No
1748,Robingoose #1748,Honk honk,goose_1748.png,Goose,Turquoise,Yellow,Open,White,Two Tone,Yes,No,None,Yes,Yellow,No
1749,Robingoose #1749,Honk honk,goose_1749.png,Goose,Lime,Orange,Closed,Black,Solid,No,Yes,Turquoise,No,None,No
1750,Robingoose #1750,Honk honk,goose_1750.png,Goose,Coral,Green,Closed,Red,Two Tone,No,No,None,No,None,No
1751,Robingoose #1751,Honk honk,goose_1751.png,Goose,Turquoise,Sky Blue,Closed,Black,Solid,No,Yes,Green,No,None,No
1752,Robingoose #1752,Honk honk,goose_1752.png,Goose,Pink,Yellow,Open,Green,Two Tone,Yes,Yes,White,No,None,No
1753,Robingoose #1753,Honk honk,goose_1753.png,Goose,Blue,Orange,Closed,Red,Two Tone,No,Yes,Lime,No,None,Yes
1754,Robingoose #1754,Honk honk,goose_1754.png,Goose,Sky Blue,Blue,Open,Black,Solid,No,Yes,Sky Blue,No,None,No
1755,Robingoose #1755,Honk honk,goose_1755.png,Goose,Black,Pink,Open,Red,Solid,No,Yes,Salmon,No,None,No
1756,Robingoose #1756,Honk honk,goose_1756.png,Goose,Black,Orange,Closed,Pink,Two Tone,No,No,None,No,None,Yes
1757,Robingoose #1757,Honk honk,goose_1757.png,Goose,Black,Blue,Closed,Red,Solid,No,No,None,No,None,No
1758,Robingoose #1758,Honk honk,goose_1758.png,Goose,Pink,Yellow,Open,Orange,Two Tone,No,No,None,Yes,Yellow,No
1759,Robingoose #1759,Honk honk,goose_1759.png,Goose,Purple,Yellow,Closed,White,Two Tone,No,No,None,No,None,No
1760,Robingoose #1760,Honk honk,goose_1760.png,Goose,Coral,Orange,Open,Black,Solid,Yes,Yes,Coral,No,None,No
1761,Robingoose #1761,Honk honk,goose_1761.png,Goose,Blue,Orange,Open,Black,Solid,No,No,None,No,None,No
1762,Robingoose #1762,Honk honk,goose_1762.png,Goose,Lime,Black,Closed,Pink,Solid,No,No,None,No,None,No
1763,Robingoose #1763,Honk honk,goose_1763.png,Goose,Orange,Black,Open,White,Two Tone,No,No,None,No,None,Yes
1764,Robingoose #1764,Honk honk,goose_1764.png,Goose,Green,White,Open,Black,Solid,No,Yes,Green,No,None,No
1765,Robingoose #1765,Honk honk,goose_1765.png,Goose,Purple,Orange,Open,Black,Solid,No,No,None,No,None,No
1766,Robingoose #1766,Honk honk,goose_1766.png,Goose,Lime,Orange,Closed,Turquoise,Two Tone,No,No,None,No,None,Yes
1767,Robingoose #1767,Honk honk,goose_1767.png,Goose,Black,Coral,Open,Red,Solid,Yes,Yes,Black,No,None,No
1768,Robingoose #1768,Honk honk,goose_1768.png,Goose,Green,Yellow,Closed,Red,Two Tone,No,No,None,No,None,No
1769,Robingoose #1769,Honk honk,goose_1769.png,Goose,Blue,Lime,Open,Black,Solid,Yes,No,None,No,None,No
1770,Robingoose #1770,Honk honk,goose_1770.png,Goose,Purple,Yellow,Open,Black,Solid,Yes,Yes,White,No,None,No
1771,Robingoose #1771,Honk honk,goose_1771.png,Goose,Green,Blue,Closed,Black,Solid,No,Yes,Purple,No,None,No
1772,Robingoose #1772,Honk honk,goose_1772.png,Goose,Black,Lime,Closed,Pink,Two Tone,No,Yes,Black,No,None,No
1773,Robingoose #1773,Honk honk,goose_1773.png,Goose,White,Orange,Closed,Salmon,Two Tone,No,No,None,No,None,No
1774,Robingoose #1774,Honk honk,goose_1774.png,Goose,White,Orange,Open,Coral,Two Tone,No,No,None,Yes,Black,No
1775,Robingoose #1775,Honk honk,goose_1775.png,Goose,White,Orange,Open,Black,Solid,Yes,Yes,Lime,No,None,No
1776,Robingoose #1776,Honk honk,goose_1776.png,Goose,Blue,Yellow,Open,Salmon,Two Tone,No,Yes,Blue,No,None,No
1777,Robingoose #1777,Honk honk,goose_1777.png,Goose,Yellow,Coral,Closed,Orange,Two Tone,No,Yes,Yellow,No,None,Yes
1778,Robingoose #1778,Honk honk,goose_1778.png,Goose,Blue,Yellow,Open,Coral,Two Tone,Yes,Yes,Blue,No,None,Yes
1779,Robingoose #1779,Honk honk,goose_1779.png,Goose,White,Pink,Open,Purple,Two Tone,Yes,No,None,Yes,Black,No
1780,Robingoose #1780,Honk honk,goose_1780.png,Goose,White,Black,Closed,Orange,Solid,No,No,None,No,None,No
1781,Robingoose #1781,Honk honk,goose_1781.png,Goose,Pink,Yellow,Open,Coral,Two Tone,Yes,Yes,Purple,No,None,No
1782,Robingoose #1782,Honk honk,goose_1782.png,Goose,White,Yellow,Open,Turquoise,Two Tone,Yes,No,None,No,None,No
1783,Robingoose #1783,Honk honk,goose_1783.png,Goose,Black,Salmon,Open,Red,Solid,No,Yes,Black,No,None,No
